index,sample
0,-7
1,0
2,-7
3,-3
4,-2
5,-9
6,-4
7,-3
8,-6
9,-8
10,-2
11,-9
12,-8
13,-4
14,-3
15,-7
16,-4
17,-4
18,-10
19,-8
20,-5
21,-5
22,-6
23,-2
24,-7
25,-7
26,-4
27,-1
28,-7
29,0
30,-3
31,-8
32,-5
33,-5
34,-4
35,-7
36,-3
37,-6
38,-7
39,-6
40,-4
41,-6
42,-1
43,-5
44,-8
45,-5
46,-4
47,-6
48,-5
49,-5
50,-8
51,-7
52,-3
53,-3
54,-6
55,1
56,-8
57,-7
58,-5
59,-4
60,-4
61,-5
62,-7
63,-5
64,-6
65,-4
66,-5
67,-4
68,3
69,-9
70,-5
71,-5
72,-6
73,-7
74,-4
75,-5
76,-5
77,-7
78,-3
79,-6
80,-5
81,-3
82,-10
83,-4
84,-4
85,-3
86,-6
87,-4
88,-6
89,-7
90,-5
91,-3
92,-7
93,0
94,-5
95,-8
96,-5
97,-3
98,-4
99,-5
100,-4
101,-7
102,-5
103,-5
104,-3
105,-9
106,2
107,-3
108,-8
109,-6
110,-3
111,-6
112,-5
113,-4
114,-7
115,-7
116,-6
117,-5
118,-6
119,2
120,-9
121,-6
122,-2
123,-5
124,-6
125,-4
126,-6
127,-6
128,-7
129,-4
130,-5
131,-3
132,0
133,-10
134,-5
135,-3
136,-4
137,-9
138,-3
139,-8
140,-6
141,-6
142,-3
143,-6
144,-2
145,-2
146,-11
147,-5
148,-5
149,-5
150,-6
151,-3
152,-6
153,-7
154,-3
155,-3
156,-8
157,2
158,-1
159,-8
160,-5
161,-5
162,-8
163,-5
164,-4
165,-6
166,-4
167,-5
168,-3
169,-6
170,0
171,-8
172,-9
173,-4
174,-5
175,-7
176,-4
177,-4
178,-7
179,-6
180,-3
181,-4
182,-8
183,0
184,-9
185,-7
186,-5
187,-5
188,-5
189,-5
190,-5
191,-7
192,-5
193,-2
194,-6
195,-2
196,0
197,-10
198,-8
199,-3
200,-4
201,-7
202,-3
203,-6
204,-8
205,-7
206,-3
207,-5
208,-4
209,-5
210,-8
211,-5
212,-6
213,-6
214,-6
215,-5
216,-10
217,-5
218,-6
219,-3
220,-7
221,2
222,-4
223,-10
224,-4
225,-4
226,-6
227,-3
228,-2
229,-7
230,-7
231,-4
232,-2
233,-9
234,1
235,-5
236,-8
237,-6
238,-4
239,-7
240,-7
241,-6
242,-7
243,-4
244,-6
245,-6
246,-6
247,-4
248,-9
249,-6
250,-2
251,-1
252,-7
253,-3
254,-3
255,-10
256,-5
257,-1
258,-6
259,-3
260,-1
261,-9
262,-7
263,-4
264,-4
265,-7
266,-2
267,-7
268,-6
269,-4
270,-2
271,-7
272,-1
273,-1
274,-10
275,-3
276,-5
277,-6
278,-5
279,-3
280,-6
281,-6
282,-6
283,-2
284,-7
285,0
286,-5
287,-5
288,-5
289,-2
290,-7
291,-7
292,-3
293,-8
294,-4
295,-3
296,-1
297,-6
298,0
299,-8
300,-8
301,-5
302,-5
303,-7
304,-3
305,-4
306,-8
307,-5
308,-4
309,-4
310,-5
311,-2
312,-8
313,-8
314,-4
315,-5
316,-6
317,-3
318,-6
319,-7
320,-7
321,-2
322,-4
323,-2
324,0
325,-10
326,-4
327,-3
328,-4
329,-5
330,-4
331,-7
332,-7
333,-6
334,-1
335,-9
336,-1
337,-2
338,-9
339,-6
340,-4
341,-4
342,-7
343,-5
344,-7
345,-7
346,-5
347,-7
348,-7
349,0
350,-6
351,-8
352,-4
353,-6
354,-7
355,-5
356,-2
357,-8
358,-6
359,-6
360,-3
361,-4
362,0
363,-6
364,-8
365,-3
366,-4
367,-6
368,-5
369,-5
370,-6
371,-7
372,-4
373,-4
374,-5
375,0
376,-11
377,-11
378,-3
379,-4
380,-7
381,-3
382,-7
383,-7
384,-7
385,-3
386,-4
387,-5
388,-1
389,-9
390,-6
391,-4
392,-6
393,-5
394,-5
395,-6
396,-8
397,-5
398,-3
399,-7
400,-1
401,-2
402,-6
403,-5
404,-3
405,-4
406,-7
407,-3
408,-8
409,-9
410,-5
411,-4
412,-7
413,-1
414,-5
415,-8
416,-6
417,-6
418,-7
419,-6
420,-3
421,-6
422,-7
423,-5
424,-5
425,-6
426,0
427,-8
428,-8
429,-4
430,-5
431,-7
432,-6
433,-3
434,-6
435,-7
436,-4
437,-3
438,-2
439,0
440,-9
441,-8
442,-5
443,-5
444,-7
445,-3
446,-7
447,-6
448,-6
449,-4
450,-5
451,-5
452,-2
453,-5
454,-7
455,-6
456,-4
457,-6
458,-2
459,-7
460,-5
461,-5
462,-3
463,-7
464,-3
465,-3
466,-8
467,-6
468,-4
469,-4
470,-5
471,-3
472,-10
473,-7
474,-3
475,-5
476,-6
477,1
478,-6
479,-10
480,-3
481,-4
482,-8
483,-4
484,-4
485,-7
486,-5
487,-6
488,-3
489,-6
490,1
491,-7
492,-6
493,-4
494,-4
495,-4
496,-4
497,-7
498,-6
499,-7
500,-4
501,-3
502,-4
503,-2
504,-7
505,-5
506,-5
507,-3
508,-6
509,-2
510,-6
511,-8
512,-5
513,-4
514,-6
515,-3
516,-3
517,-8
518,-5
519,-4
520,-4
521,-4
522,-3
523,-6
524,-7
525,-6
526,-1
527,-6
528,-3
529,-5
530,-7
531,-6
532,-4
533,-8
534,-4
535,-3
536,-10
537,-8
538,-5
539,-3
540,-8
541,0
542,-6
543,-9
544,-6
545,-3
546,-7
547,-5
548,-5
549,-6
550,-6
551,-4
552,-5
553,-6
554,1
555,-8
556,-7
557,-4
558,-5
559,-7
560,-3
561,-6
562,-7
563,-6
564,-3
565,-4
566,-4
567,-2
568,-7
569,-7
570,-5
571,-7
572,-7
573,-4
574,-8
575,-5
576,-3
577,-4
578,-3
579,-2
580,-2
581,-9
582,-6
583,-3
584,-4
585,-6
586,-4
587,-6
588,-5
589,-6
590,-3
591,-7
592,0
593,-3
594,-9
595,-5
596,-3
597,-7
598,-5
599,-4
600,-8
601,-6
602,-5
603,-2
604,-5
605,1
606,-7
607,-10
608,-4
609,-2
610,-6
611,-2
612,-3
613,-9
614,-6
615,-3
616,-5
617,-4
618,-3
619,-8
620,-7
621,-5
622,-4
623,-8
624,-4
625,-3
626,-6
627,-8
628,-3
629,-5
630,-3
631,-2
632,-11
633,-6
634,-3
635,-5
636,-8
637,-5
638,-6
639,-9
640,-6
641,-2
642,-7
643,-4
644,-1
645,-10
646,-7
647,-5
648,-7
649,-6
650,-4
651,-7
652,-6
653,-5
654,-5
655,-6
656,-2
657,-5
658,-8
659,-4
660,-2
661,-6
662,-6
663,-4
664,-9
665,-7
666,-2
667,-4
668,-5
669,1
670,-6
671,-7
672,-5
673,-6
674,-8
675,-4
676,-7
677,-7
678,-5
679,-5
680,-6
681,-6
682,-1
683,-8
684,-9
685,-5
686,-7
687,-9
688,-4
689,-6
690,-6
691,-6
692,-4
693,-5
694,-5
695,-1
696,-8
697,-8
698,-4
699,-5
700,-7
701,-3
702,-6
703,-7
704,-6
705,-4
706,-7
707,-3
708,-2
709,-9
710,-5
711,-2
712,-5
713,-5
714,-2
715,-8
716,-6
717,-5
718,-4
719,-6
720,-1
721,-5
722,-7
723,-6
724,-5
725,-7
726,-4
727,-2
728,-9
729,-5
730,-4
731,-2
732,-4
733,1
734,-6
735,-7
736,-4
737,-4
738,-6
739,-4
740,-4
741,-8
742,-7
743,-2
744,-3
745,-6
746,0
747,-8
748,-4
749,-4
750,-4
751,-6
752,-5
753,-6
754,-6
755,-3
756,-2
757,-6
758,-4
759,-1
760,-11
761,-6
762,-6
763,-5
764,-5
765,-3
766,-5
767,-7
768,-6
769,-3
770,-7
771,0
772,-2
773,-8
774,-4
775,-3
776,-6
777,-7
778,-3
779,-8
780,-8
781,-7
782,-4
783,-8
784,-2
785,-5
786,-8
787,-3
788,-5
789,-7
790,-3
791,-3
792,-8
793,-7
794,-4
795,-4
796,-6
797,1
798,-6
799,-8
800,-5
801,-3
802,-5
803,-1
804,-4
805,-5
806,-6
807,-5
808,-5
809,-5
810,-1
811,-9
812,-6
813,-6
814,-6
815,-6
816,-5
817,-8
818,-8
819,-4
820,-3
821,-7
822,-4
823,0
824,-9
825,-5
826,-3
827,-5
828,-5
829,-3
830,-6
831,-7
832,-6
833,-5
834,-6
835,-1
836,-4
837,-8
838,-4
839,-4
840,-5
841,-6
842,-2
843,-8
844,-6
845,-6
846,-3
847,-7
848,1
849,-5
850,-10
851,-5
852,-6
853,-8
854,-4
855,-5
856,-9
857,-5
858,-5
859,-3
860,-6
861,-1
862,-6
863,-7
864,-5
865,-6
866,-5
867,-2
868,-6
869,-4
870,-7
871,-4
872,-5
873,-5
874,-2
875,-10
876,-5
877,-3
878,-4
879,-6
880,-3
881,-5
882,-9
883,-7
884,-3
885,-6
886,-2
887,-1
888,-10
889,-5
890,-4
891,-6
892,-5
893,-1
894,-6
895,-7
896,-7
897,-2
898,-5
899,-2
900,-2
901,-10
902,-6
903,-3
904,-7
905,-5
906,-1
907,-9
908,-6
909,-5
910,-3
911,-6
912,-2
913,-7
914,-11
915,-6
916,-3
917,-5
918,-5
919,-5
920,-8
921,-7
922,-5
923,-4
924,-6
925,1
926,-6
927,-7
928,-4
929,-5
930,-8
931,-5
932,-3
933,-9
934,-5
935,-2
936,-4
937,-3
938,-1
939,-8
940,-8
941,-3
942,-5
943,-8
944,-3
945,-7
946,-6
947,-5
948,-3
949,-7
950,-4
951,-3
952,-10
953,-6
954,-3
955,-5
956,-5
957,-2
958,-7
959,-8
960,-7
961,-3
962,-8
963,-3
964,-2
965,-9
966,-4
967,-3
968,-5
969,-5
970,-3
971,-9
972,-6
973,-5
974,-3
975,-6
976,-2
977,-5
978,-10
979,-5
980,-4
981,-5
982,-6
983,-5
984,-8
985,-7
986,-4
987,-6
988,-7
989,0
990,-7
991,-8
992,-5
993,-4
994,-6
995,-5
996,-7
997,-6
998,-5
999,-5
1000,-4
1001,-3
1002,2
1003,-8
1004,-8
1005,-4
1006,-2
1007,-6
1008,-2
1009,-7
1010,-8
1011,-6
1012,-3
1013,-7
1014,-3
1015,-1
1016,-9
1017,-4
1018,-4
1019,-7
1020,-8
1021,-3
1022,-7
1023,-6
1024,-3
1025,-3
1026,-6
1027,-1
1028,-4
1029,-7
1030,-4
1031,-5
1032,-5
1033,-6
1034,-5
1035,-8
1036,-8
1037,-3
1038,-4
1039,-4
1040,-2
1041,-6
1042,-8
1043,-4
1044,-3
1045,-6
1046,-5
1047,-7
1048,-8
1049,-5
1050,-4
1051,-4
1052,-6
1053,0
1054,-8
1055,-7
1056,-4
1057,-2
1058,-4
1059,-4
1060,-6
1061,-6
1062,-6
1063,-3
1064,-6
1065,-5
1066,-1
1067,-9
1068,-5
1069,-4
1070,-2
1071,-6
1072,-2
1073,-5
1074,-8
1075,-7
1076,-4
1077,-6
1078,-1
1079,-2
1080,-9
1081,-5
1082,-3
1083,-7
1084,-6
1085,-2
1086,-6
1087,-5
1088,-7
1089,-4
1090,-5
1091,-4
1092,-5
1093,-8
1094,-4
1095,-2
1096,-5
1097,-4
1098,-3
1099,-9
1100,-7
1101,-5
1102,-4
1103,-8
1104,-1
1105,-4
1106,-7
1107,-3
1108,-4
1109,-5
1110,-3
1111,-4
1112,-7
1113,-7
1114,-4
1115,-5
1116,-5
1117,0
1118,-8
1119,-7
1120,-5
1121,-3
1122,-6
1123,-4
1124,-7
1125,-5
1126,-6
1127,-3
1128,-5
1129,-5
1130,0
1131,-8
1132,-6
1133,-4
1134,-4
1135,-7
1136,-1
1137,-8
1138,-8
1139,-4
1140,-2
1141,-6
1142,-3
1143,-1
1144,-10
1145,-6
1146,-2
1147,-6
1148,-7
1149,-4
1150,-7
1151,-7
1152,-6
1153,-3
1154,-7
1155,-2
1156,-7
1157,-8
1158,-3
1159,-3
1160,-4
1161,-4
1162,-4
1163,-9
1164,-6
1165,-4
1166,-4
1167,-5
1168,2
1169,-5
1170,-9
1171,-6
1172,-6
1173,-6
1174,-4
1175,-4
1176,-8
1177,-7
1178,-2
1179,-4
1180,-5
1181,1
1182,-7
1183,-7
1184,-3
1185,-5
1186,-7
1187,-3
1188,-9
1189,-7
1190,-6
1191,-6
1192,-7
1193,-2
1194,-1
1195,-9
1196,-4
1197,-3
1198,-6
1199,-7
1200,-4
1201,-6
1202,-4
1203,-6
1204,-3
1205,-4
1206,-3
1207,-3
1208,-9
1209,-6
1210,-4
1211,-9
1212,-6
1213,-5
1214,-7
1215,-5
1216,-4
1217,-1
1218,-6
1219,1
1220,-4
1221,-9
1222,-4
1223,-6
1224,-6
1225,-5
1226,-2
1227,-4
1228,-8
1229,-3
1230,-3
1231,-6
1232,0
1233,-5
1234,-8
1235,-5
1236,-5
1237,-7
1238,-4
1239,-4
1240,-7
1241,-8
1242,-2
1243,-4
1244,-7
1245,-1
1246,-8
1247,-7
1248,-5
1249,-2
1250,-7
1251,-3
1252,-7
1253,-5
1254,-5
1255,-6
1256,-6
1257,-5
1258,-2
1259,-9
1260,-7
1261,-2
1262,-5
1263,-8
1264,-4
1265,-7
1266,-5
1267,-5
1268,-1
1269,-6
1270,-1
1271,-3
1272,-10
1273,-5
1274,-5
1275,-6
1276,-6
1277,-3
1278,-6
1279,-5
1280,-3
1281,-4
1282,-5
1283,-2
1284,-6
1285,-9
1286,-4
1287,-2
1288,-5
1289,-4
1290,-3
1291,-7
1292,-8
1293,-3
1294,-3
1295,-7
1296,0
1297,-5
1298,-7
1299,-3
1300,-4
1301,-5
1302,-4
1303,-6
1304,-8
1305,-5
1306,-6
1307,-6
1308,-4
1309,1
1310,-9
1311,-8
1312,-2
1313,-4
1314,-5
1315,-4
1316,-6
1317,-6
1318,-5
1319,-1
1320,-4
1321,-2
1322,0
1323,-8
1324,-7
1325,-3
1326,-5
1327,-7
1328,-2
1329,-7
1330,-7
1331,-4
1332,-3
1333,-5
1334,-1
1335,-4
1336,-8
1337,-4
1338,-4
1339,-4
1340,-4
1341,-4
1342,-7
1343,-5
1344,-5
1345,-3
1346,-6
1347,-3
1348,-5
1349,-8
1350,-7
1351,-5
1352,-8
1353,-4
1354,-3
1355,-8
1356,-6
1357,-4
1358,-4
1359,-6
1360,1
1361,-7
1362,-7
1363,-4
1364,-4
1365,-7
1366,-4
1367,-3
1368,-7
1369,-6
1370,-6
1371,-6
1372,-5
1373,-1
1374,-8
1375,-9
1376,-4
1377,-7
1378,-9
1379,-3
1380,-7
1381,-7
1382,-8
1383,-4
1384,-3
1385,-4
1386,-1
1387,-9
1388,-7
1389,-4
1390,-4
1391,-7
1392,-4
1393,-10
1394,-7
1395,-6
1396,-5
1397,-9
1398,-2
1399,-2
1400,-9
1401,-5
1402,-4
1403,-7
1404,-5
1405,0
1406,-7
1407,-7
1408,-4
1409,-3
1410,-6
1411,-1
1412,-5
1413,-7
1414,-5
1415,-2
1416,-4
1417,-4
1418,-4
1419,-6
1420,-6
1421,-4
1422,-3
1423,-8
1424,-3
1425,-7
1426,-5
1427,-4
1428,-4
1429,-5
1430,-5
1431,-8
1432,-7
1433,-7
1434,-4
1435,-4
1436,-5
1437,-2
1438,-9
1439,-6
1440,-4
1441,-5
1442,-6
1443,-2
1444,-6
1445,-5
1446,-7
1447,-4
1448,-7
1449,-2
1450,0
1451,-9
1452,-6
1453,-4
1454,-5
1455,-7
1456,-2
1457,-8
1458,-7
1459,-7
1460,-1
1461,-8
1462,-3
1463,-2
1464,-8
1465,-5
1466,-4
1467,-5
1468,-5
1469,-5
1470,-7
1471,-6
1472,-6
1473,-3
1474,-7
1475,0
1476,-6
1477,-8
1478,-3
1479,-4
1480,-7
1481,-4
1482,-5
1483,-7
1484,-6
1485,-5
1486,-2
1487,-6
1488,-2
1489,-8
1490,-6
1491,-1
1492,-4
1493,-8
1494,-2
1495,-5
1496,-8
1497,-7
1498,-4
1499,-7
1500,-6
1501,0
1502,-7
1503,-6
1504,-4
1505,-6
1506,-7
1507,-5
1508,-8
1509,-8
1510,-6
1511,-3
1512,-7
1513,-3
1514,-2
1515,-9
1516,-4
1517,-5
1518,-5
1519,-5
1520,-1
1521,-4
1522,-6
1523,-4
1524,-2
1525,-9
1526,-2
1527,-2
1528,-10
1529,-6
1530,-3
1531,-6
1532,-3
1533,-2
1534,-6
1535,-4
1536,-5
1537,-2
1538,-6
1539,-1
1540,-5
1541,-7
1542,-4
1543,-5
1544,-8
1545,-4
1546,-6
1547,-7
1548,-5
1549,-4
1550,-5
1551,-7
1552,0
1553,-8
1554,-5
1555,-3
1556,-6
1557,-6
1558,-5
1559,-5
1560,-8
1561,-6
1562,-2
1563,-5
1564,-4
1565,-1
1566,-8
1567,-10
1568,-4
1569,-5
1570,-7
1571,-2
1572,-6
1573,-7
1574,-4
1575,-3
1576,-6
1577,-2
1578,-2
1579,-8
1580,-7
1581,-3
1582,-2
1583,-8
1584,-5
1585,-7
1586,-8
1587,-6
1588,-1
1589,-6
1590,-3
1591,-4
1592,-9
1593,-4
1594,-5
1595,-5
1596,-4
1597,-5
1598,-8
1599,-7
1600,-4
1601,-3
1602,-8
1603,2
1604,-7
1605,-8
1606,-2
1607,-3
1608,-8
1609,-4
1610,-3
1611,-7
1612,-4
1613,-3
1614,-5
1615,-8
1616,0
1617,-7
1618,-6
1619,-3
1620,-4
1621,-7
1622,-2
1623,-3
1624,-6
1625,-6
1626,-2
1627,-6
1628,-5
1629,-1
1630,-8
1631,-7
1632,-4
1633,-3
1634,-7
1635,-3
1636,-5
1637,-7
1638,-7
1639,-3
1640,-7
1641,-3
1642,-1
1643,-10
1644,-6
1645,-4
1646,-5
1647,-5
1648,-1
1649,-5
1650,-6
1651,-3
1652,-5
1653,-8
1654,-1
1655,-5
1656,-8
1657,-4
1658,-5
1659,-7
1660,-5
1661,-2
1662,-10
1663,-8
1664,-5
1665,-3
1666,-6
1667,-1
1668,-5
1669,-8
1670,-4
1671,-4
1672,-7
1673,-6
1674,-6
