index,dBFS
0,-73.40677
1,-200.00002
2,-73.40677
3,-80.766304
4,-84.28813
5,-71.223885
6,-78.26753
7,-80.766304
8,-74.745705
9,-72.24693
10,-84.28813
11,-71.223885
12,-72.24693
13,-78.26753
14,-80.766304
15,-73.40677
16,-78.26753
17,-78.26753
18,-70.30873
19,-72.24693
20,-76.32933
21,-76.32933
22,-74.745705
23,-84.28813
24,-73.40677
25,-73.40677
26,-78.26753
27,-90.3087
28,-73.40677
29,-200.00002
30,-80.766304
31,-72.24693
32,-76.32933
33,-76.32933
34,-78.26753
35,-73.40677
36,-80.766304
37,-74.745705
38,-73.40677
39,-74.745705
40,-78.26753
41,-74.745705
42,-90.3087
43,-76.32933
44,-72.24693
45,-76.32933
46,-78.26753
47,-74.745705
48,-76.32933
49,-76.32933
50,-72.24693
51,-73.40677
52,-80.766304
53,-80.766304
54,-74.745705
55,-90.3087
56,-72.24693
57,-73.40677
58,-76.32933
59,-78.26753
60,-78.26753
61,-76.32933
62,-73.40677
63,-76.32933
64,-74.745705
65,-78.26753
66,-76.32933
67,-78.26753
68,-80.766304
69,-71.223885
70,-76.32933
71,-76.32933
72,-74.745705
73,-73.40677
74,-78.26753
75,-76.32933
76,-76.32933
77,-73.40677
78,-80.766304
79,-74.745705
80,-76.32933
81,-80.766304
82,-70.30873
83,-78.26753
84,-78.26753
85,-80.766304
86,-74.745705
87,-78.26753
88,-74.745705
89,-73.40677
90,-76.32933
91,-80.766304
92,-73.40677
93,-200.00002
94,-76.32933
95,-72.24693
96,-76.32933
97,-80.766304
98,-78.26753
99,-76.32933
100,-78.26753
101,-73.40677
102,-76.32933
103,-76.32933
104,-80.766304
105,-71.223885
106,-84.28813
107,-80.766304
108,-72.24693
109,-74.745705
110,-80.766304
111,-74.745705
112,-76.32933
113,-78.26753
114,-73.40677
115,-73.40677
116,-74.745705
117,-76.32933
118,-74.745705
119,-84.28813
120,-71.223885
121,-74.745705
122,-84.28813
123,-76.32933
124,-74.745705
125,-78.26753
126,-74.745705
127,-74.745705
128,-73.40677
129,-78.26753
130,-76.32933
131,-80.766304
132,-200.00002
133,-70.30873
134,-76.32933
135,-80.766304
136,-78.26753
137,-71.223885
138,-80.766304
139,-72.24693
140,-74.745705
141,-74.745705
142,-80.766304
143,-74.745705
144,-84.28813
145,-84.28813
146,-69.48088
147,-76.32933
148,-76.32933
149,-76.32933
150,-74.745705
151,-80.766304
152,-74.745705
153,-73.40677
154,-80.766304
155,-80.766304
156,-72.24693
157,-84.28813
158,-90.3087
159,-72.24693
160,-76.32933
161,-76.32933
162,-72.24693
163,-76.32933
