index,sample
0,3
1,-9
2,-8
3,-10
4,-8
5,-6
6,-6
7,-1
8,-10
9,-6
10,-9
11,-6
12,-9
13,-10
14,-4
15,-4
16,-6
17,-13
18,-12
19,-4
20,-3
21,-6
22,-8
23,-7
24,-7
25,-8
26,-11
27,-9
28,-10
29,-7
30,-8
31,-10
32,-10
33,-10
34,-7
35,-5
36,-8
37,-11
38,-9
39,-12
40,-7
41,-10
42,-10
43,-7
44,-10
45,-9
46,12
47,-1
48,-8
49,-1
50,-7
51,-7
52,-7
53,-9
54,-5
55,-6
56,-3
57,-6
58,-7
59,-9
60,-7
61,-8
62,-9
63,-2
64,-6
65,-6
66,-6
67,-10
68,-4
69,-3
70,-6
71,-3
72,-8
73,-8
74,-7
75,-8
76,-6
77,-10
78,-9
79,-11
80,-11
81,-7
82,-8
83,-9
84,-10
85,-6
86,-8
87,-4
88,-8
89,-7
90,-4
91,-10
92,8
93,0
94,-5
95,-4
96,-7
97,-2
98,-11
99,-10
100,-5
101,-8
102,-6
103,-5
104,-10
105,-7
106,-9
107,-14
108,-8
109,-9
110,-6
111,-6
112,-11
113,-2
114,-7
115,-7
116,-7
117,-12
118,-7
119,-9
120,-7
121,-7
122,-6
123,-7
124,-2
125,-2
126,-8
127,-4
128,-12
129,-11
130,-9
131,-6
132,-4
133,-11
134,-11
135,-11
136,-6
137,-8
138,4
139,-1
140,-10
141,-1
142,-6
143,-6
144,-11
145,-7
146,-7
147,-5
148,-8
149,-9
150,-12
151,-7
152,-5
153,-10
154,-8
155,-8
156,0
157,-10
158,-5
159,-10
160,-10
161,-7
162,-8
163,-12
164,-10
165,-7
166,-6
167,-4
168,-7
169,-6
170,-12
171,-9
172,-9
173,-8
174,-11
175,-13
176,-9
177,-9
178,-7
179,-4
180,-6
181,-11
182,-6
183,-10
184,4
185,0
186,-12
187,-3
188,-6
189,-10
190,-9
191,-7
192,-6
193,-7
194,-7
195,-10
196,-11
197,-7
198,-10
199,-9
200,-6
201,-10
202,-4
203,-10
204,-8
205,-6
206,-9
207,-10
208,-3
209,-4
210,-11
211,-5
212,-10
213,-6
214,-10
215,-11
216,-3
217,-6
218,-7
219,-9
220,-11
221,-8
222,-10
223,-10
224,-4
225,-10
226,-7
227,-13
228,-8
229,-10
230,3
231,6
232,-10
233,-5
234,-8
235,0
236,-9
237,-6
238,-9
239,-9
240,-7
241,-9
242,-4
243,-8
244,-8
245,-3
246,-9
247,-9
248,-8
249,-9
250,-7
251,-6
252,-7
253,-10
254,-5
255,-4
256,-10
257,-10
258,-7
259,-4
260,-6
261,-8
262,-7
263,-2
264,-7
265,-10
266,-7
267,-9
268,-6
269,-6
270,-6
271,-3
272,-7
273,-13
274,-7
275,-14
276,-2
277,4
278,-13
279,-6
280,-8
281,-8
282,-6
283,-9
284,-5
285,-13
286,-6
287,-7
288,-4
289,-1
290,-7
291,-6
292,-5
293,-6
294,-6
295,-11
296,-8
297,-7
298,-11
299,-13
300,-8
301,-10
302,-9
303,-7
304,-9
305,-10
306,-7
307,-6
308,-8
309,-8
310,-12
311,-14
312,-11
313,-4
314,-8
315,-11
316,-6
317,-7
318,-5
319,-11
320,-4
321,-7
322,-5
323,12
324,-17
325,-2
326,-5
327,-10
328,-8
329,-10
330,-7
331,-9
332,-4
333,-8
334,-10
335,-9
336,-11
337,-11
338,-6
339,-6
340,-9
341,-14
342,-13
343,-5
344,-3
345,-10
346,-9
347,-5
348,-7
349,-8
350,-9
351,-9
352,-4
353,-7
354,-6
355,-9
356,-9
357,-6
358,-6
359,-7
360,-10
361,-8
362,-5
363,-8
364,-5
365,-7
366,-7
367,-7
368,1
369,5
370,-13
371,-4
372,-14
373,-8
374,-8
375,-11
376,-8
377,-14
378,-7
379,-3
380,-9
381,-13
382,-10
383,-5
384,-9
385,-7
386,-7
387,-11
388,-8
389,-9
390,-10
391,-13
392,-6
393,-3
394,-6
395,-7
396,-8
397,-6
398,-13
399,-11
400,-7
401,-8
402,-9
403,-11
404,-10
405,-7
406,-9
407,-12
408,-10
409,-8
410,-7
411,-11
412,-9
413,-11
414,-3
415,3
416,-9
417,-9
418,-9
419,-5
420,-10
421,-7
422,-4
423,-6
424,-7
425,-8
426,-3
427,-4
428,-8
429,-6
430,-5
431,-6
432,-7
433,-5
434,-9
435,-12
436,-7
437,-3
438,-7
439,-7
440,-9
441,-5
442,-7
443,-9
444,-6
445,-11
446,-9
447,-3
448,-9
449,-14
450,-6
451,-10
452,-5
453,-7
454,-6
455,-5
456,-12
457,-3
458,-7
459,-7
460,3
461,9
462,-10
463,-4
464,-9
465,-9
466,-5
467,-9
468,-11
469,-10
470,-7
471,-4
472,-7
473,-5
474,-6
475,-6
476,-10
477,-12
478,-6
479,-8
480,-7
481,-3
482,-4
483,-7
484,-7
485,-8
486,-10
487,-7
488,-7
489,-8
490,-7
491,-7
492,-8
493,-8
494,-9
495,-12
496,-12
497,-6
498,-8
499,-7
500,-6
501,-8
502,-10
503,-14
504,-8
505,-7
506,-5
507,11
508,-4
509,-7
510,-12
511,-10
512,-8
513,-13
514,1
515,-6
516,-13
517,-5
518,-6
519,-7
520,-9
521,-4
522,-6
523,-7
524,-5
525,-6
526,-6
527,-6
528,-10
529,-5
530,-5
531,-10
532,-6
533,-7
534,-10
535,-7
536,-6
537,-9
538,-8
539,-6
540,-5
541,-7
542,-9
543,-6
544,-7
545,-11
546,-5
547,-8
548,-5
549,-11
550,-8
551,-8
552,-9
553,8
554,-11
555,-8
556,-8
557,-10
558,-4
559,-9
560,-10
561,-8
562,-6
563,-5
564,-10
565,-10
566,-11
567,-11
568,-10
569,-7
570,-13
571,-9
572,-7
573,-7
574,-9
575,-7
576,-8
577,-3
578,-9
579,-6
580,-10
581,-11
582,-8
583,-8
584,-5
585,-5
586,-14
587,-10
588,-8
589,-13
590,-7
591,-4
592,-6
593,-9
594,-3
595,-9
596,-7
597,-8
598,-12
599,10
600,-5
601,-8
602,-5
603,-12
604,-10
605,-7
606,-9
607,-10
608,-7
609,-6
610,-9
611,-10
612,-10
613,-7
614,-9
615,-10
616,-8
617,-10
618,-4
619,-15
620,-4
621,-6
622,-11
623,-3
624,-5
625,-3
626,-8
627,-7
628,-6
629,-9
630,-10
631,-8
632,-12
633,-4
634,-6
635,-9
636,-8
637,-4
638,-10
639,-11
640,-8
641,-7
642,-4
643,-11
644,-10
645,11
646,-4
647,-8
648,-6
649,-5
650,-6
651,-14
652,-7
653,-7
654,-7
655,-5
656,-4
657,-9
658,-13
659,-8
660,-13
661,-8
662,0
663,-4
664,-8
665,-10
666,-7
667,-9
668,-12
669,-8
670,-8
671,-10
672,-8
673,-8
674,-8
675,-8
676,-8
677,-5
678,-10
679,-9
680,-3
681,-10
682,-12
683,-8
684,-8
685,-8
686,-4
687,-7
688,-5
689,-4
690,-11
691,7
692,0
693,-11
694,-5
695,-10
696,-7
697,-5
698,-8
699,-8
700,-9
701,-5
702,-8
703,-12
704,-10
705,-6
706,-7
707,-3
708,-7
709,-8
710,-9
711,-4
712,-6
713,-11
714,-5
715,-8
716,-8
717,-9
718,-6
719,-9
720,-12
721,-11
722,-6
723,-10
724,-8
725,-4
726,-6
727,-11
728,-6
729,-6
730,-9
731,-5
732,-9
733,-7
734,-5
735,-7
736,-13
737,5
738,-1
739,-9
740,-1
741,-9
742,-9
743,-9
744,-4
745,-9
746,-5
747,-10
748,-12
749,-8
750,-9
751,-8
752,-7
753,-8
754,-9
755,-7
756,-5
757,-4
758,-3
759,-8
760,-9
761,-8
762,-5
763,-10
764,-9
765,-7
766,-3
767,-10
768,-8
769,-9
770,-12
771,-10
772,-7
773,-5
774,-6
775,-10
776,-5
777,-7
778,-8
779,-4
780,-8
781,-6
782,-12
783,8
784,1
785,-12
786,0
787,-15
788,-8
789,-6
790,-5
791,-8
792,-6
793,-6
794,-6
795,-11
796,-8
797,-5
798,-7
799,-11
800,-9
801,-10
802,-10
803,-9
804,-9
805,-9
806,-12
807,0
808,-6
809,-8
810,-5
811,-6
812,-7
813,-12
814,-11
815,-7
816,-6
817,-5
818,-4
819,-3
820,-9
821,-10
822,-7
823,-6
824,-7
825,-5
826,-6
827,-9
828,-11
829,3
830,4
831,-12
832,-7
833,-14
834,-9
