index,dBFS
0,-80.766304
1,-71.223885
2,-72.24693
3,-70.30873
4,-72.24693
5,-74.745705
6,-74.745705
7,-90.3087
8,-70.30873
9,-74.745705
10,-71.223885
11,-74.745705
12,-71.223885
13,-70.30873
14,-78.26753
15,-78.26753
16,-74.745705
17,-68.02987
18,-68.72511
19,-78.26753
20,-80.766304
21,-74.745705
22,-72.24693
23,-73.40677
24,-73.40677
25,-72.24693
26,-69.48088
27,-71.223885
28,-70.30873
29,-73.40677
30,-72.24693
31,-70.30873
32,-70.30873
33,-70.30873
34,-73.40677
35,-76.32933
36,-72.24693
37,-69.48088
38,-71.223885
39,-68.72511
40,-73.40677
41,-70.30873
42,-70.30873
43,-73.40677
44,-70.30873
45,-71.223885
46,-68.72511
47,-90.3087
48,-72.24693
49,-90.3087
50,-73.40677
51,-73.40677
52,-73.40677
53,-71.223885
54,-76.32933
55,-74.745705
56,-80.766304
57,-74.745705
58,-73.40677
59,-71.223885
60,-73.40677
61,-72.24693
62,-71.223885
63,-84.28813
64,-74.745705
65,-74.745705
66,-74.745705
67,-70.30873
68,-78.26753
69,-80.766304
70,-74.745705
71,-80.766304
72,-72.24693
73,-72.24693
74,-73.40677
75,-72.24693
76,-74.745705
77,-70.30873
78,-71.223885
79,-69.48088
80,-69.48088
81,-73.40677
82,-72.24693
83,-71.223885
84,-70.30873
85,-74.745705
86,-72.24693
87,-78.26753
88,-72.24693
89,-73.40677
90,-78.26753
91,-70.30873
92,-72.24693
93,-200.00002
94,-76.32933
95,-78.26753
96,-73.40677
97,-84.28813
98,-69.48088
99,-70.30873
100,-76.32933
101,-72.24693
102,-74.745705
103,-76.32933
104,-70.30873
105,-73.40677
106,-71.223885
107,-67.38618
108,-72.24693
109,-71.223885
110,-74.745705
111,-74.745705
112,-69.48088
113,-84.28813
114,-73.40677
115,-73.40677
116,-73.40677
117,-68.72511
118,-73.40677
119,-71.223885
120,-73.40677
121,-73.40677
122,-74.745705
123,-73.40677
124,-84.28813
125,-84.28813
126,-72.24693
127,-78.26753
128,-68.72511
129,-69.48088
130,-71.223885
131,-74.745705
132,-78.26753
133,-69.48088
134,-69.48088
135,-69.48088
136,-74.745705
137,-72.24693
138,-78.26753
139,-90.3087
140,-70.30873
141,-90.3087
142,-74.745705
143,-74.745705
144,-69.48088
145,-73.40677
146,-73.40677
147,-76.32933
148,-72.24693
149,-71.223885
150,-68.72511
151,-73.40677
152,-76.32933
153,-70.30873
154,-72.24693
155,-72.24693
156,-200.00002
157,-70.30873
158,-76.32933
159,-70.30873
160,-70.30873
161,-73.40677
162,-72.24693
163,-68.72511
164,-70.30873
165,-73.40677
166,-74.745705
167,-78.26753
168,-73.40677
169,-74.745705
170,-68.72511
171,-71.223885
172,-71.223885
173,-72.24693
174,-69.48088
175,-68.02987
176,-71.223885
177,-71.223885
178,-73.40677
179,-78.26753
180,-74.745705
181,-69.48088
182,-74.745705
183,-70.30873
184,-78.26753
185,-200.00002
186,-68.72511
187,-80.766304
188,-74.745705
189,-70.30873
190,-71.223885
191,-73.40677
192,-74.745705
193,-73.40677
194,-73.40677
195,-70.30873
196,-69.48088
197,-73.40677
198,-70.30873
199,-71.223885
200,-74.745705
201,-70.30873
202,-78.26753
203,-70.30873
204,-72.24693
205,-74.745705
206,-71.223885
207,-70.30873
208,-80.766304
209,-78.26753
210,-69.48088
211,-76.32933
212,-70.30873
213,-74.745705
214,-70.30873
215,-69.48088
216,-80.766304
217,-74.745705
218,-73.40677
219,-71.223885
220,-69.48088
221,-72.24693
222,-70.30873
223,-70.30873
224,-78.26753
225,-70.30873
226,-73.40677
227,-68.02987
228,-72.24693
229,-70.30873
230,-80.766304
231,-74.745705
232,-70.30873
233,-76.32933
234,-72.24693
235,-200.00002
236,-71.223885
237,-74.745705
238,-71.223885
239,-71.223885
240,-73.40677
241,-71.223885
242,-78.26753
243,-72.24693
244,-72.24693
245,-80.766304
246,-71.223885
247,-71.223885
248,-72.24693
249,-71.223885
250,-73.40677
251,-74.745705
252,-73.40677
253,-70.30873
254,-76.32933
255,-78.26753
256,-70.30873
257,-70.30873
258,-73.40677
259,-78.26753
260,-74.745705
261,-72.24693
262,-73.40677
263,-84.28813
264,-73.40677
265,-70.30873
266,-73.40677
267,-71.223885
268,-74.745705
269,-74.745705
270,-74.745705
271,-80.766304
272,-73.40677
273,-68.02987
274,-73.40677
275,-67.38618
276,-84.28813
277,-78.26753
278,-68.02987
279,-74.745705
280,-72.24693
281,-72.24693
282,-74.745705
283,-71.223885
284,-76.32933
285,-68.02987
286,-74.745705
287,-73.40677
288,-78.26753
289,-90.3087
290,-73.40677
291,-74.745705
292,-76.32933
293,-74.745705
294,-74.745705
295,-69.48088
296,-72.24693
297,-73.40677
298,-69.48088
299,-68.02987
300,-72.24693
301,-70.30873
302,-71.223885
303,-73.40677
304,-71.223885
305,-70.30873
306,-73.40677
307,-74.745705
308,-72.24693
309,-72.24693
310,-68.72511
311,-67.38618
312,-69.48088
313,-78.26753
314,-72.24693
315,-69.48088
316,-74.745705
317,-73.40677
318,-76.32933
319,-69.48088
320,-78.26753
321,-73.40677
322,-76.32933
323,-68.72511
324,-65.69975
325,-84.28813
326,-76.32933
327,-70.30873
328,-72.24693
329,-70.30873
330,-73.40677
331,-71.223885
332,-78.26753
333,-72.24693
334,-70.30873
335,-71.223885
336,-69.48088
337,-69.48088
338,-74.745705
339,-74.745705
340,-71.223885
341,-67.38618
342,-68.02987
343,-76.32933
344,-80.766304
345,-70.30873
346,-71.223885
347,-76.32933
348,-73.40677
349,-72.24693
350,-71.223885
351,-71.223885
352,-78.26753
353,-73.40677
354,-74.745705
355,-71.223885
356,-71.223885
357,-74.745705
358,-74.745705
359,-73.40677
360,-70.30873
361,-72.24693
362,-76.32933
363,-72.24693
364,-76.32933
365,-73.40677
366,-73.40677
367,-73.40677
368,-90.3087
369,-76.32933
370,-68.02987
371,-78.26753
372,-67.38618
373,-72.24693
374,-72.24693
375,-69.48088
376,-72.24693
377,-67.38618
378,-73.40677
379,-80.766304
380,-71.223885
381,-68.02987
382,-70.30873
383,-76.32933
384,-71.223885
385,-73.40677
386,-73.40677
387,-69.48088
388,-72.24693
389,-71.223885
390,-70.30873
391,-68.02987
392,-74.745705
393,-80.766304
394,-74.745705
395,-73.40677
396,-72.24693
397,-74.745705
398,-68.02987
399,-69.48088
400,-73.40677
401,-72.24693
402,-71.223885
403,-69.48088
404,-70.30873
405,-73.40677
406,-71.223885
407,-68.72511
408,-70.30873
409,-72.24693
410,-73.40677
411,-69.48088
412,-71.223885
413,-69.48088
414,-80.766304
415,-80.766304
416,-71.223885
417,-71.223885
418,-71.223885
419,-76.32933
420,-70.30873
421,-73.40677
422,-78.26753
423,-74.745705
424,-73.40677
425,-72.24693
426,-80.766304
427,-78.26753
428,-72.24693
429,-74.745705
430,-76.32933
431,-74.745705
432,-73.40677
433,-76.32933
434,-71.223885
435,-68.72511
436,-73.40677
437,-80.766304
438,-73.40677
439,-73.40677
440,-71.223885
441,-76.32933
442,-73.40677
443,-71.223885
444,-74.745705
445,-69.48088
446,-71.223885
447,-80.766304
448,-71.223885
449,-67.38618
450,-74.745705
451,-70.30873
452,-76.32933
453,-73.40677
454,-74.745705
455,-76.32933
456,-68.72511
457,-80.766304
458,-73.40677
459,-73.40677
460,-80.766304
461,-71.223885
462,-70.30873
463,-78.26753
464,-71.223885
465,-71.223885
466,-76.32933
467,-71.223885
468,-69.48088
469,-70.30873
470,-73.40677
471,-78.26753
472,-73.40677
473,-76.32933
474,-74.745705
475,-74.745705
476,-70.30873
477,-68.72511
478,-74.745705
479,-72.24693
480,-73.40677
