index,sample
0,-21
1,-3
2,-34
3,23
4,-12
5,31
6,84
7,210
8,60
9,13
10,-8
11,13
12,-1
13,-23
14,50
15,69
16,103
17,90
18,-5
19,-5
20,-67
21,-27
22,60
23,5
24,-10
25,-21
26,34
27,-1
28,-45
29,-75
30,0
31,56
32,15
33,-22
34,-90
35,17
36,-30
37,-29
38,-12
39,-44
40,-74
41,-104
42,7
43,-79
44,-88
45,-75
46,-66
47,182
48,1
49,51
50,162
51,40
52,14
53,78
54,27
55,66
56,117
57,-105
58,-16
59,72
60,-3
61,67
62,-32
63,-23
64,50
65,9
66,99
67,158
68,-122
69,-147
70,64
71,28
72,-58
73,-6
74,6
75,30
76,17
77,32
78,1
79,16
80,42
81,79
82,-26
83,2
84,-22
85,-75
86,-131
87,16
88,88
89,20
90,-31
91,19
92,118
93,97
94,162
95,14
96,-49
97,26
98,41
99,-38
100,-12
101,86
102,-41
103,1
104,-53
105,1
106,-36
107,-14
108,45
109,108
110,-13
111,-102
112,-31
113,26
114,58
115,-104
116,-21
117,-58
118,0
119,-53
120,-98
121,81
122,-11
123,142
124,-1
125,-3
126,92
127,23
128,46
129,-106
130,-33
131,96
132,-12
133,-35
134,25
135,2
136,135
137,105
138,-29
139,161
140,52
141,-95
142,-62
143,140
144,-3
145,-187
146,-16
147,3
148,-17
149,0
150,-127
151,90
152,91
153,-36
154,49
155,20
156,-51
157,15
158,-19
159,23
160,-13
161,-67
162,-58
163,68
164,-63
165,-9
166,108
167,53
168,55
169,70
170,-48
171,68
172,-48
173,-127
174,25
175,1
176,100
177,130
178,40
179,-15
180,-13
181,67
182,102
183,34
184,-97
185,-97
186,-14
187,46
188,98
189,14
190,34
191,-24
192,-100
193,-66
194,-109
195,130
196,79
197,-19
198,22
199,1
200,-30
201,32
202,27
203,-80
204,82
205,-88
206,73
207,-154
208,-143
209,62
210,-139
211,24
212,-90
213,-62
214,-73
215,87
216,24
217,-29
218,6
219,-187
220,80
221,68
222,73
223,-60
224,-190
225,-59
226,78
227,9
228,11
229,17
230,-72
231,-37
232,-38
233,29
234,21
235,74
236,28
237,-76
238,63
239,43
240,212
241,46
242,-102
243,59
244,-43
245,60
246,29
247,-29
248,11
249,70
250,116
251,-88
252,-73
253,129
254,-31
255,-24
256,-8
257,-126
258,-73
259,-121
260,-81
261,-26
262,-46
263,45
264,31
265,-87
266,81
267,-96
268,24
269,83
270,-48
271,84
272,-22
273,-36
274,-16
275,71
276,1
277,93
278,12
279,-86
280,47
281,32
282,50
283,-25
284,58
285,-73
286,4
287,-66
288,-17
289,-56
290,69
291,25
292,-22
293,84
294,65
295,-62
296,-99
297,13
298,16
299,-38
300,-67
301,-5
302,30
303,46
304,24
305,28
306,61
307,-17
308,119
309,-12
310,66
311,19
312,-32
313,-26
314,5
315,74
316,-22
317,12
318,74
319,10
320,-50
321,-10
322,-10
323,41
324,-22
325,-71
326,-16
327,-27
328,-25
329,-130
330,-66
331,76
332,60
333,-31
334,12
335,-45
336,-92
337,131
338,32
339,-24
340,-44
341,-17
342,-61
343,-53
344,15
345,-9
346,49
347,56
348,95
349,-38
350,-32
351,59
352,-51
353,0
354,-19
355,-20
356,-85
357,65
358,-5
359,-72
360,79
361,-90
362,35
363,-10
364,-72
365,46
366,-43
367,97
368,170
369,-101
370,-53
371,126
372,-19
373,-85
374,30
375,-78
376,-2
377,-130
378,-146
379,-31
380,20
381,-38
382,-67
383,28
384,-92
385,-66
386,19
387,-39
388,7
389,79
390,-9
391,-166
392,-4
393,39
394,-32
395,-17
396,-8
397,1
398,11
399,37
400,35
401,70
402,88
403,11
404,27
405,-95
406,-34
407,-52
408,-154
409,20
410,-28
411,13
412,106
413,42
414,-10
415,-42
416,-13
417,31
418,-32
419,-118
420,125
421,17
422,-1
423,166
424,-31
425,-88
426,40
427,32
428,15
429,-63
430,-100
431,-114
432,65
433,79
434,-24
435,-80
436,-74
437,136
438,95
439,65
440,13
441,-35
442,46
443,16
444,84
445,-34
446,-64
447,19
448,129
449,9
450,-68
451,141
452,-77
453,-128
454,129
455,27
456,1
457,21
458,-5
459,-1
460,-71
461,18
462,-20
463,15
464,-126
465,-77
466,-73
467,46
468,6
469,-44
470,29
471,-140
472,40
473,-14
474,-87
475,-11
476,68
477,-2
478,8
479,40
480,-64
481,-154
482,0
483,-14
484,14
485,-38
486,44
487,-98
488,98
489,14
490,-78
491,18
492,-170
493,85
494,27
495,30
496,55
497,18
498,75
499,-123
500,-117
501,81
502,63
503,209
504,43
505,51
506,-26
507,-28
508,102
509,55
510,-13
511,-58
512,60
513,36
514,121
515,62
516,-52
517,41
518,5
519,-31
520,-24
521,69
522,-18
523,7
524,95
525,49
526,-128
527,-54
528,-57
529,-44
530,1
531,-27
532,-18
533,-51
534,-5
535,-83
536,119
537,97
538,14
539,-91
540,10
541,139
542,106
543,92
544,21
545,89
546,130
547,65
548,26
549,160
550,-40
551,-150
552,-66
553,33
554,-4
555,-4
556,-48
557,-3
558,80
559,53
560,-173
561,-104
562,7
563,82
564,-51
565,66
566,-30
567,-66
568,81
569,-46
570,-21
571,19
572,-18
573,69
574,-15
575,-44
576,76
577,-112
578,76
579,-12
580,-29
581,20
582,155
583,111
584,40
585,52
586,127
587,5
588,7
589,-59
590,-50
591,97
592,62
593,-5
594,23
595,18
596,-17
597,-116
598,59
599,33
600,-39
601,118
602,-100
603,15
604,90
605,76
606,66
607,-47
608,36
609,52
610,94
611,-61
612,7
613,-69
614,-23
615,-45
616,17
617,-17
618,1
619,-7
620,73
621,20
622,-8
623,63
624,73
625,10
626,63
627,27
628,-37
629,-25
630,-145
631,-118
632,-26
633,50
634,64
635,-16
636,74
637,36
638,-7
639,31
640,61
641,57
642,-43
643,-90
644,-59
645,-19
646,38
647,24
648,-128
649,-67
650,-74
651,-86
652,16
653,44
654,-81
655,46
656,95
657,58
658,95
659,91
660,7
661,-31
662,-4
663,-36
664,-12
665,-32
666,-18
667,-97
668,50
669,8
670,-46
671,40
672,88
673,-50
674,56
675,-21
676,-23
677,26
678,-115
679,76
680,-34
681,-33
682,30
683,-42
684,-20
685,129
686,43
687,-33
688,-29
689,39
690,29
691,-103
692,-18
693,-103
694,-73
695,-14
696,58
697,-37
698,-60
699,3
700,60
701,-64
702,19
703,-53
704,-55
705,8
706,54
707,54
708,-42
709,-18
710,15
711,-1
712,35
713,110
714,204
715,21
716,25
717,-23
718,26
719,-23
720,3
721,57
722,71
723,106
724,72
725,-13
726,2
727,-87
728,10
729,46
730,5
731,-19
732,-11
733,40
734,-15
735,-48
736,-72
737,32
738,40
739,4
740,-48
741,-74
742,24
743,-44
744,-14
745,-23
746,-48
747,-82
748,-88
749,8
750,-100
751,-64
752,-97
753,2
754,177
755,-40
756,107
757,138
758,29
759,17
760,97
761,16
762,106
763,65
764,-120
765,36
766,57
767,9
768,69
769,-58
770,7
771,41
772,11
773,132
774,113
775,-179
776,-86
777,79
778,-1
779,-54
780,4
781,11
782,28
783,27
784,34
785,5
786,26
787,49
788,55
789,-34
790,9
791,-39
792,-87
793,-119
794,51
795,68
796,6
797,-35
798,51
799,113
800,108
801,151
802,-35
803,-27
804,40
805,33
806,-51
807,26
808,55
809,-47
810,3
811,-61
812,14
813,-53
814,6
815,63
816,107
817,-59
818,-81
819,-30
820,54
821,19
822,-103
823,-21
824,-52
825,22
826,-83
827,-51
828,68
829,-4
830,148
831,-37
832,39
833,76
834,39
835,19
836,-112
837,9
838,81
839,-27
840,-25
841,19
842,17
843,162
844,52
845,0
846,168
847,-2
848,-100
849,-23
850,160
851,-81
852,-165
853,5
854,-20
855,-1
856,-37
857,-113
858,129
859,39
860,-32
861,61
862,-7
863,-38
864,9
865,-18
866,32
867,-18
868,-67
869,-24
870,67
871,-79
872,30
873,100
874,47
875,76
876,54
877,-44
878,87
879,-106
880,-82
881,22
882,13
883,113
884,114
885,19
886,-23
887,-5
888,83
889,102
890,3
891,-115
892,-80
893,-4
894,63
895,85
896,1
897,45
898,-56
899,-82
900,-87
901,-67
902,154
903,33
904,-7
905,20
906,-1
907,-33
908,61
909,-18
910,-39
911,58
912,-84
913,92
914,-226
915,-39
916,4
917,-116
918,22
919,-105
920,-51
921,-57
922,126
923,-27
924,5
925,-49
926,-146
927,126
928,49
929,71
930,-112
931,-176
932,-21
933,88
934,-6
935,24
936,-16
937,-59
938,-46
939,-25
940,37
941,16
942,91
943,-11
944,-54
945,70
946,74
947,233
948,-43
949,-60
950,42
951,-37
952,72
953,0
954,-15
955,15
956,102
957,83
958,-127
959,-16
960,121
961,-64
962,8
963,-56
964,-123
965,-76
966,-121
967,-62
968,-26
969,-45
970,70
971,-14
972,-49
973,69
974,-115
975,79
976,38
977,-20
978,85
979,-48
980,-21
981,-7
982,70
983,-2
984,119
985,-53
986,-36
987,42
988,47
989,9
990,-1
991,29
992,-69
993,-5
994,-65
995,-31
996,-43
997,94
998,-11
999,0
1000,97
1001,44
1002,-87
1003,-71
1004,27
1005,-1
1006,-42
1007,-58
1008,15
1009,29
1010,43
1011,14
1012,42
1013,44
1014,1
1015,113
1016,-30
1017,90
1018,-19
1019,-11
1020,-41
1021,47
1022,51
1023,-22
1024,23
1025,81
1026,-20
1027,-31
1028,-14
1029,2
1030,33
1031,-47
1032,-66
1033,-14
1034,-24
1035,-36
1036,-138
1037,-29
1038,83
1039,42
1040,-40
1041,24
1042,-82
1043,-38
1044,134
1045,7
1046,-22
1047,-40
1048,-20
1049,-78
1050,-26
1051,16
1052,-1
1053,55
1054,52
1055,81
1056,-72
1057,19
1058,30
1059,-42
1060,-4
1061,-15
1062,-38
1063,-65
1064,90
1065,-42
1066,-26
1067,55
1068,-97
1069,67
1070,-64
1071,-29
1072,29
1073,-42
1074,149
1075,127
1076,-140
1077,8
1078,114
1079,-71
1080,-43
1081,9
1082,-78
1083,-15
1084,-164
1085,-110
1086,-4
1087,24
1088,-63
1089,-31
1090,8
1091,-111
1092,-32
1093,6
1094,-35
1095,35
1096,84
1097,-55
1098,-152
1099,40
1100,17
1101,-30
1102,-11
1103,-8
1104,-3
1105,21
1106,35
1107,37
1108,88
1109,65
1110,11
1111,6
1112,-104
1113,0
1114,-92
1115,-122
1116,33
1117,-46
1118,53
1119,102
1120,24
1121,-29
1122,-38
1123,-9
1124,38
1125,-82
1126,-74
1127,139
1128,-31
1129,51
1130,155
1131,-72
1132,-55
1133,40
1134,32
1135,3
1136,-74
1137,-110
1138,-86
1139,90
1140,54
1141,-32
1142,-96
1143,-37
1144,159
1145,62
1146,75
1147,-23
1148,-5
1149,33
1150,39
1151,71
1152,-58
1153,-62
1154,50
1155,124
1156,-34
1157,-20
1158,139
1159,-147
1160,-58
1161,126
1162,11
1163,15
1164,17
1165,-8
1166,-22
1167,-61
1168,14
1169,-11
1170,4
1171,-134
1172,-56
1173,-70
1174,81
1175,-41
1176,4
1177,-19
1178,-114
1179,58
1180,-48
1181,-82
1182,22
1183,56
1184,1
1185,10
1186,44
1187,-101
1188,-125
1189,-5
1190,-1
1191,-9
1192,-19
1193,26
1194,-89
1195,133
1196,-51
1197,-32
1198,-35
1199,-145
1200,129
