index,dBFS
0,-63.86435
1,-80.766304
2,-59.67916
3,-63.07418
4,-68.72511
5,-60.4815
6,-51.82315
7,-43.86435
8,-54.74571
9,-68.02987
10,-72.24693
11,-68.02987
12,-90.3087
13,-63.07418
14,-56.32933
15,-53.531754
16,-50.05199
17,-51.223885
18,-76.32933
19,-76.32933
20,-53.787235
21,-61.68146
22,-54.74571
23,-76.32933
24,-70.30873
25,-63.86435
26,-59.67916
27,-90.3087
28,-57.244488
29,-52.807507
30,-200.00002
31,-55.34497
32,-66.78691
33,-63.46028
34,-51.223885
35,-65.69975
36,-60.76631
37,-61.060776
38,-68.72511
39,-57.439686
40,-52.9241
41,-49.96807
42,-73.40677
43,-52.35619
44,-51.419083
45,-52.807507
46,-53.917854
47,-45.107307
48,-90.3087
49,-56.157333
50,-46.118435
51,-58.267536
52,-67.38618
53,-52.466843
54,-61.68146
55,-53.917854
56,-48.945015
57,-49.88495
58,-66.22633
59,-53.162083
60,-80.766304
61,-53.787235
62,-60.205734
63,-63.07418
64,-56.32933
65,-71.223885
66,-50.396034
67,-46.335594
68,-48.58154
69,-46.96239
70,-54.185135
71,-61.365578
72,-55.040173
73,-74.745705
74,-74.745705
75,-60.76631
76,-65.69975
77,-60.205734
78,-90.3087
79,-66.22633
80,-57.84375
81,-52.35619
82,-62.00927
83,-84.28813
84,-63.46028
85,-52.807507
86,-47.96331
87,-66.22633
88,-51.419083
89,-64.28813
90,-60.4815
91,-64.733665
92,-48.871098
93,-50.573303
94,-46.118435
95,-67.38618
96,-56.504814
97,-62.00927
98,-58.05306
99,-58.713066
100,-68.72511
101,-51.618767
102,-58.05306
103,-90.3087
104,-55.823215
105,-90.3087
106,-59.182686
107,-67.38618
108,-57.244488
109,-49.64026
110,-68.02987
111,-50.136734
112,-60.4815
113,-62.00927
114,-55.040173
115,-49.96807
116,-63.86435
117,-55.040173
118,-200.00002
119,-55.823215
120,-50.484215
121,-52.139034
122,-69.48088
123,-47.26297
124,-90.3087
125,-80.766304
126,-51.032978
127,-63.07418
128,-57.05358
129,-49.80262
130,-59.93846
131,-50.663307
132,-68.72511
133,-59.427376
134,-62.349934
135,-84.28813
136,-47.70206
137,-49.88495
138,-61.060776
139,-46.17222
140,-55.988663
141,-50.75426
142,-54.460903
143,-47.386173
144,-80.766304
145,-44.871902
146,-66.22633
147,-80.766304
148,-65.69975
149,-200.00002
150,-48.23266
151,-51.223885
152,-51.127907
153,-59.182686
154,-56.504814
155,-64.28813
156,-56.157333
157,-66.78691
158,-64.733665
159,-63.07418
160,-68.02987
161,-53.787235
162,-55.040173
163,-53.658558
164,-54.321922
165,-71.223885
166,-49.64026
167,-55.823215
168,-55.50148
169,-53.406773
170,-56.683907
171,-53.658558
172,-56.683907
173,-48.23266
174,-62.349934
175,-90.3087
176,-50.30874
177,-48.02987
